web-scraper-order,web-scraper-start-url,link-pergunta,link-pergunta-href
"1590675611-801","https://www.quora.com/profile/Vincent-Pisano-2/questions","What unconventional tactics have helped people on Twitch?","https://www.quora.com/unanswered/What-unconventional-tactics-have-helped-people-on-Twitch"
"1590675611-326","https://www.quora.com/profile/Vincent-Pisano-2/questions","What countries get camels from Australia?","https://www.quora.com/What-countries-get-camels-from-Australia"
"1590675611-603","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is Judy Mikovits' salary?","https://www.quora.com/unanswered/What-is-Judy-Mikovits-salary"
"1590675611-325","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you download and subscribe to Joe Rogan's podcast on Spotify?","https://www.quora.com/How-do-you-download-and-subscribe-to-Joe-Rogans-podcast-on-Spotify"
"1590675611-305","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the most noble thing you've seen someone do during quarantine?","https://www.quora.com/What-is-the-most-noble-thing-youve-seen-someone-do-during-quarantine"
"1590675611-316","https://www.quora.com/profile/Vincent-Pisano-2/questions","Are wood cutting boards more sanitary than microbial? Why or why not?","https://www.quora.com/Are-wood-cutting-boards-more-sanitary-than-microbial-Why-or-why-not"
"1590675611-643","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you assign a beneficiary to a BBVA account?","https://www.quora.com/How-do-you-assign-a-beneficiary-to-a-BBVA-account"
"1590675611-506","https://www.quora.com/profile/Vincent-Pisano-2/questions","What college fact made you think ""no wait, really""?","https://www.quora.com/What-college-fact-made-you-think-no-wait-really"
"1590675611-516","https://www.quora.com/profile/Vincent-Pisano-2/questions","What does the expression “WIIFM” mean?","https://www.quora.com/What-does-the-expression-WIIFM-mean"
"1590675611-858","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is something from One Piece that is really kind of dark, but gets ignored?","https://www.quora.com/What-is-something-from-One-Piece-that-is-really-kind-of-dark-but-gets-ignored"
"1590675611-342","https://www.quora.com/profile/Vincent-Pisano-2/questions","How long did people have to wear face coverings during the 1918 pandemic?","https://www.quora.com/How-long-did-people-have-to-wear-face-coverings-during-the-1918-pandemic"
"1590675611-439","https://www.quora.com/profile/Vincent-Pisano-2/questions","Can people on your friends list see your Facebook Messenger rooms?","https://www.quora.com/unanswered/Can-people-on-your-friends-list-see-your-Facebook-Messenger-rooms"
"1590675611-642","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the maximum size file you can send in Zoom?","https://www.quora.com/unanswered/What-is-the-maximum-size-file-you-can-send-in-Zoom"
"1590675611-195","https://www.quora.com/profile/Vincent-Pisano-2/questions","What do you think about the Micrashell protective clubbing suit? Would you wear one?","https://www.quora.com/What-do-you-think-about-the-Micrashell-protective-clubbing-suit-Would-you-wear-one"
"1590675611-282","https://www.quora.com/profile/Vincent-Pisano-2/questions","What emoji describes your child best?","https://www.quora.com/What-emoji-describes-your-child-best"
"1590675611-471","https://www.quora.com/profile/Vincent-Pisano-2/questions","What would the coronavirus be as a food or drink flavor?","https://www.quora.com/unanswered/What-would-the-coronavirus-be-as-a-food-or-drink-flavor"
"1590675611-783","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you assign a beneficiary to a BB&T bank account?","https://www.quora.com/How-do-you-assign-a-beneficiary-to-a-BB-T-bank-account"
"1590675611-667","https://www.quora.com/profile/Vincent-Pisano-2/questions","What are the best apps for social distancing?","https://www.quora.com/What-are-the-best-apps-for-social-distancing"
"1590675611-529","https://www.quora.com/profile/Vincent-Pisano-2/questions","How does someone sign up for Giorgio Armani's After Pay service?","https://www.quora.com/unanswered/How-does-someone-sign-up-for-Giorgio-Armanis-After-Pay-service"
"1590675611-352","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is something from Outer banks that is really kind of dark, but gets ignored?","https://www.quora.com/unanswered/What-is-something-from-Outer-banks-that-is-really-kind-of-dark-but-gets-ignored"
"1590675611-375","https://www.quora.com/profile/Vincent-Pisano-2/questions","How should a person write that they are an essential coronavirus worker on their resume?","https://www.quora.com/How-should-a-person-write-that-they-are-an-essential-coronavirus-worker-on-their-resume"
"1590675611-657","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you fix the temperature of a George Foreman Grill?","https://www.quora.com/unanswered/How-do-you-fix-the-temperature-of-a-George-Foreman-Grill"
"1590675611-455","https://www.quora.com/profile/Vincent-Pisano-2/questions","What popular exercise regimen was a disappointment for you?","https://www.quora.com/What-popular-exercise-regimen-was-a-disappointment-for-you"
"1590675611-168","https://www.quora.com/profile/Vincent-Pisano-2/questions","If your Instacart order is wrong, should you call the driver back or where you bought items from?","https://www.quora.com/If-your-Instacart-order-is-wrong-should-you-call-the-driver-back-or-where-you-bought-items-from"
"1590675611-632","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why is there an elephant riding across a Google search bar?","https://www.quora.com/unanswered/Why-is-there-an-elephant-riding-across-a-Google-search-bar"
"1590675611-853","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you link Twitch with TikTok?","https://www.quora.com/unanswered/How-do-you-link-Twitch-with-TikTok"
"1590675611-371","https://www.quora.com/profile/Vincent-Pisano-2/questions","When a mobile app or website authenticates and verifies your identity by logging into your PayPal or bank website, will you always receive an unauthorized login text or email?","https://www.quora.com/When-a-mobile-app-or-website-authenticates-and-verifies-your-identity-by-logging-into-your-PayPal-or-bank-website-will-you-always-receive-an-unauthorized-login-text-or-email"
"1590675611-722","https://www.quora.com/profile/Vincent-Pisano-2/questions","Can people see what you search for on Craigslist?","https://www.quora.com/Can-people-see-what-you-search-for-on-Craigslist"
"1590675611-797","https://www.quora.com/profile/Vincent-Pisano-2/questions","What were the ""Jordan Rules""?","https://www.quora.com/What-were-the-Jordan-Rules"
"1590675611-432","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why would it be considered a punishment when a person enjoys the punishment?","https://www.quora.com/Why-would-it-be-considered-a-punishment-when-a-person-enjoys-the-punishment"
"1590675611-372","https://www.quora.com/profile/Vincent-Pisano-2/questions","Are you proud of getting a degree from Victoria University?","https://www.quora.com/Are-you-proud-of-getting-a-degree-from-Victoria-University"
"1590675611-724","https://www.quora.com/profile/Vincent-Pisano-2/questions","What kind of sausage patty does Zaxby's use?","https://www.quora.com/unanswered/What-kind-of-sausage-patty-does-Zaxbys-use"
"1590675611-254","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why would someone's Instagram post appear without a caption even though they put in a caption before posting?","https://www.quora.com/Why-would-someones-Instagram-post-appear-without-a-caption-even-though-they-put-in-a-caption-before-posting"
"1590675611-366","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why will so many people be tuning into Barack Obama's address to the class of 2020 graduates?","https://www.quora.com/Why-will-so-many-people-be-tuning-into-Barack-Obamas-address-to-the-class-of-2020-graduates"
"1590675611-373","https://www.quora.com/profile/Vincent-Pisano-2/questions","What toy did you swear you would never buy your kids but ended up buying anyway?","https://www.quora.com/What-toy-did-you-swear-you-would-never-buy-your-kids-but-ended-up-buying-anyway"
"1590675611-759","https://www.quora.com/profile/Vincent-Pisano-2/questions","Are you proud of getting a degree from Tipton-Rosemark Academy?","https://www.quora.com/unanswered/Are-you-proud-of-getting-a-degree-from-Tipton-Rosemark-Academy"
"1590675611-218","https://www.quora.com/profile/Vincent-Pisano-2/questions","What do professional wrestling announcers mean when they say wrestlers are ""giving fans what they want""?","https://www.quora.com/What-do-professional-wrestling-announcers-mean-when-they-say-wrestlers-are-giving-fans-what-they-want"
"1590675611-808","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the meaning of the song ""Penny In My Back Pocket"" by Angelica Garcia?","https://www.quora.com/unanswered/What-is-the-meaning-of-the-song-Penny-In-My-Back-Pocket-by-Angelica-Garcia"
"1590675611-390","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the worst thing your child has done with toilet paper during quarantine?","https://www.quora.com/What-is-the-worst-thing-your-child-has-done-with-toilet-paper-during-quarantine"
"1590675611-772","https://www.quora.com/profile/Vincent-Pisano-2/questions","What credit score do you need to get a coronavirus financing deal on a vehicle?","https://www.quora.com/What-credit-score-do-you-need-to-get-a-coronavirus-financing-deal-on-a-vehicle"
"1590675611-297","https://www.quora.com/profile/Vincent-Pisano-2/questions","What does a green line around a Medium profile mean?","https://www.quora.com/What-does-a-green-line-around-a-Medium-profile-mean"
"1590675611-654","https://www.quora.com/profile/Vincent-Pisano-2/questions","What will Don Shula be remembered for after his death?","https://www.quora.com/unanswered/What-will-Don-Shula-be-remembered-for-after-his-death"
"1590675611-239","https://www.quora.com/profile/Vincent-Pisano-2/questions","What are the best how to quarantine videos?","https://www.quora.com/What-are-the-best-how-to-quarantine-videos"
"1590675611-497","https://www.quora.com/profile/Vincent-Pisano-2/questions","What false assumptions do people make about a woman with a hot husband?","https://www.quora.com/What-false-assumptions-do-people-make-about-a-woman-with-a-hot-husband"
"1590675611-766","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you mute messages on Vero?","https://www.quora.com/unanswered/How-do-you-mute-messages-on-Vero"
"1590675611-489","https://www.quora.com/profile/Vincent-Pisano-2/questions","What coronavirus death impacted you the most?","https://www.quora.com/What-coronavirus-death-impacted-you-the-most"
"1590675611-248","https://www.quora.com/profile/Vincent-Pisano-2/questions","How long does it take a mobile deposit to enter your Santander bank account?","https://www.quora.com/unanswered/How-long-does-it-take-a-mobile-deposit-to-enter-your-Santander-bank-account"
"1590675611-543","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is something you aren't aware of until you know an ENFP more intimately/personally?","https://www.quora.com/What-is-something-you-arent-aware-of-until-you-know-an-ENFP-more-intimately-personally"
"1590675611-810","https://www.quora.com/profile/Vincent-Pisano-2/questions","What does a ""Sub Gifter Badge"" mean on Twitch?","https://www.quora.com/What-does-a-Sub-Gifter-Badge-mean-on-Twitch"
"1590675611-674","https://www.quora.com/profile/Vincent-Pisano-2/questions","What NFL player would you be most sad to watch have a season of their prime taken away because the season was cancelled?","https://www.quora.com/What-NFL-player-would-you-be-most-sad-to-watch-have-a-season-of-their-prime-taken-away-because-the-season-was-cancelled"
"1590675611-173","https://www.quora.com/profile/Vincent-Pisano-2/questions","How have you gotten your ""steps"" in during quarantine?","https://www.quora.com/How-have-you-gotten-your-steps-in-during-quarantine"
"1590675611-597","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you receive Peacock free with Xfinity?","https://www.quora.com/How-do-you-receive-Peacock-free-with-Xfinity"
"1590675611-730","https://www.quora.com/profile/Vincent-Pisano-2/questions","Is take out food cooked fresher and right before delivery during the Corona virus? Why or why not?","https://www.quora.com/unanswered/Is-take-out-food-cooked-fresher-and-right-before-delivery-during-the-Corona-virus-Why-or-why-not"
"1590675611-636","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you see the song lyrics in Vimeo?","https://www.quora.com/How-do-you-see-the-song-lyrics-in-Vimeo"
"1590675611-776","https://www.quora.com/profile/Vincent-Pisano-2/questions","What do you see on Zoom that had you think ""you've got to be kidding me""?","https://www.quora.com/unanswered/What-do-you-see-on-Zoom-that-had-you-think-youve-got-to-be-kidding-me"
"1590675611-398","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the latest time of day you can send a Venmo payment or transfer to process the same day?","https://www.quora.com/unanswered/What-is-the-latest-time-of-day-you-can-send-a-Venmo-payment-or-transfer-to-process-the-same-day"
"1590675611-823","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is Myron Rolle up to in 2020?","https://www.quora.com/unanswered/What-is-Myron-Rolle-up-to-in-2020"
"1590675611-428","https://www.quora.com/profile/Vincent-Pisano-2/questions","What famous people turn 30 in 2021?","https://www.quora.com/unanswered/What-famous-people-turn-30-in-2021"
"1590675611-328","https://www.quora.com/profile/Vincent-Pisano-2/questions","Can animals sense the coronavirus?","https://www.quora.com/Can-animals-sense-the-coronavirus"
"1590675611-652","https://www.quora.com/profile/Vincent-Pisano-2/questions","What would Coronavirus' Match profile look like?","https://www.quora.com/unanswered/What-would-Coronavirus-Match-profile-look-like"
"1590675611-611","https://www.quora.com/profile/Vincent-Pisano-2/questions","Is losing weight considered getting revenge on someone? Why or why not?","https://www.quora.com/Is-losing-weight-considered-getting-revenge-on-someone-Why-or-why-not"
"1590675611-862","https://www.quora.com/profile/Vincent-Pisano-2/questions","How much money does an athlete lose when they drop from #1 in their NBA, MLB, NHL, or NFL draft?","https://www.quora.com/How-much-money-does-an-athlete-lose-when-they-drop-from-1-in-their-NBA-MLB-NHL-or-NFL-draft"
"1590675611-630","https://www.quora.com/profile/Vincent-Pisano-2/questions","When will gyms open in New Jersey?","https://www.quora.com/unanswered/When-will-gyms-open-in-New-Jersey"
"1590675611-357","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why is redemption a vicious cycle?","https://www.quora.com/unanswered/Why-is-redemption-a-vicious-cycle"
"1590675611-701","https://www.quora.com/profile/Vincent-Pisano-2/questions","Can you still play a game on a PS5 while downloading another game?","https://www.quora.com/Can-you-still-play-a-game-on-a-PS5-while-downloading-another-game"
"1590675611-727","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why do toy brands mean so much to people?","https://www.quora.com/Why-do-toy-brands-mean-so-much-to-people"
"1590675611-669","https://www.quora.com/profile/Vincent-Pisano-2/questions","What actors or actresses had their careers changed because a movie or show was cancelled?","https://www.quora.com/unanswered/What-actors-or-actresses-had-their-careers-changed-because-a-movie-or-show-was-cancelled"
"1590675611-182","https://www.quora.com/profile/Vincent-Pisano-2/questions","What are the signs that someone is high maintenance during the coronavirus?","https://www.quora.com/unanswered/What-are-the-signs-that-someone-is-high-maintenance-during-the-coronavirus"
"1590675611-192","https://www.quora.com/profile/Vincent-Pisano-2/questions","Are Fortnite players considered cool?","https://www.quora.com/Are-Fortnite-players-considered-cool"
"1590675611-154","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why are Ben & Jerry's Nike sneakers so expensive?","https://www.quora.com/unanswered/Why-are-Ben-Jerrys-Nike-sneakers-so-expensive"
"1590675611-782","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you find out if any of your tweets were included in news articles?","https://www.quora.com/How-do-you-find-out-if-any-of-your-tweets-were-included-in-news-articles"
"1590675611-837","https://www.quora.com/profile/Vincent-Pisano-2/questions","Can you livestream TED Talks to Instagram Live?","https://www.quora.com/unanswered/Can-you-livestream-TED-Talks-to-Instagram-Live"
"1590675611-613","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is a good euphemism to describe someone who used someone?","https://www.quora.com/What-is-a-good-euphemism-to-describe-someone-who-used-someone"
"1590675611-510","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is Trevor Bauer's phone number, and why did ESPN leak it?","https://www.quora.com/unanswered/What-is-Trevor-Bauers-phone-number-and-why-did-ESPN-leak-it"
"1590675611-437","https://www.quora.com/profile/Vincent-Pisano-2/questions","What anime fact made you think ""no wait, really""?","https://www.quora.com/What-anime-fact-made-you-think-no-wait-really"
"1590675611-614","https://www.quora.com/profile/Vincent-Pisano-2/questions","What does it mean when a package gets delivered and it says unavailable?","https://www.quora.com/unanswered/What-does-it-mean-when-a-package-gets-delivered-and-it-says-unavailable"
"1590675611-639","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the meaning of the song ""Everlong"" by Foo Fighters?","https://www.quora.com/What-is-the-meaning-of-the-song-Everlong-by-Foo-Fighters"
"1590675611-504","https://www.quora.com/profile/Vincent-Pisano-2/questions","When will gyms open in Iowa?","https://www.quora.com/When-will-gyms-open-in-Iowa"
"1590675611-416","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why does Armando Galarraga want the last out to his should have been perfect game overturned? Wouldn't that create a slippery slope in not only MLB, but all sports?","https://www.quora.com/Why-does-Armando-Galarraga-want-the-last-out-to-his-should-have-been-perfect-game-overturned-Wouldnt-that-create-a-slippery-slope-in-not-only-MLB-but-all-sports"
"1590675611-418","https://www.quora.com/profile/Vincent-Pisano-2/questions","When will gyms open in Tennessee?","https://www.quora.com/unanswered/When-will-gyms-open-in-Tennessee"
"1590675611-848","https://www.quora.com/profile/Vincent-Pisano-2/questions","Does smoothie mix actually expire?","https://www.quora.com/unanswered/Does-smoothie-mix-actually-expire"
"1590675611-338","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why might there be a black dot that is sensitive to touch that isn't a wart next to your fingernail?","https://www.quora.com/Why-might-there-be-a-black-dot-that-is-sensitive-to-touch-that-isnt-a-wart-next-to-your-fingernail"
"1590675611-360","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why can't high school and college seniors have graduations at arenas and stadiums in each state?","https://www.quora.com/Why-cant-high-school-and-college-seniors-have-graduations-at-arenas-and-stadiums-in-each-state"
"1590675611-177","https://www.quora.com/profile/Vincent-Pisano-2/questions","What are the best coronavirus-related science fair projects?","https://www.quora.com/unanswered/What-are-the-best-coronavirus-related-science-fair-projects"
"1590675611-666","https://www.quora.com/profile/Vincent-Pisano-2/questions","Is the Last Dance Chicago Bulls documentary better than The Tiger King? Why or why not?","https://www.quora.com/unanswered/Is-the-Last-Dance-Chicago-Bulls-documentary-better-than-The-Tiger-King-Why-or-why-not"
"1590675611-190","https://www.quora.com/profile/Vincent-Pisano-2/questions","Are gyroids returning to Animal Crossing?","https://www.quora.com/unanswered/Are-gyroids-returning-to-Animal-Crossing"
"1590675611-796","https://www.quora.com/profile/Vincent-Pisano-2/questions","Can a regular IV be used on a patient that is on the keto diet? Why or why not?","https://www.quora.com/Can-a-regular-IV-be-used-on-a-patient-that-is-on-the-keto-diet-Why-or-why-not"
"1590675611-445","https://www.quora.com/profile/Vincent-Pisano-2/questions","What popular speech was a disappointment for you?","https://www.quora.com/unanswered/What-popular-speech-was-a-disappointment-for-you"
"1590675611-349","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the most misunderstood thing about butterflies?","https://www.quora.com/What-is-the-most-misunderstood-thing-about-butterflies"
"1590675611-266","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is Owen Hart's real name?","https://www.quora.com/What-is-Owen-Harts-real-name"
"1590675611-816","https://www.quora.com/profile/Vincent-Pisano-2/questions","Has an NFL team ever used every pick in their NFL draft on defensive players?","https://www.quora.com/Has-an-NFL-team-ever-used-every-pick-in-their-NFL-draft-on-defensive-players"
"1590675611-415","https://www.quora.com/profile/Vincent-Pisano-2/questions","When using a left foot gas pedal, why does the engine always race when the car is turned on? How can this be fixed?","https://www.quora.com/When-using-a-left-foot-gas-pedal-why-does-the-engine-always-race-when-the-car-is-turned-on-How-can-this-be-fixed"
"1590675611-703","https://www.quora.com/profile/Vincent-Pisano-2/questions","How long does it take to beat Streets of Rage 4?","https://www.quora.com/How-long-does-it-take-to-beat-Streets-of-Rage-4"
"1590675611-866","https://www.quora.com/profile/Vincent-Pisano-2/questions","What military leader is the ""Tiger King"" of military leaders?","https://www.quora.com/What-military-leader-is-the-Tiger-King-of-military-leaders"
"1590675611-842","https://www.quora.com/profile/Vincent-Pisano-2/questions","As an Aquarius, who are your favorite musicians?","https://www.quora.com/unanswered/As-an-Aquarius-who-are-your-favorite-musicians"
"1590675611-346","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why did it take Drake so long to reveal his child to the world?","https://www.quora.com/unanswered/Why-did-it-take-Drake-so-long-to-reveal-his-child-to-the-world"
"1590675611-323","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why did Chicago Bulls players dislike Jerry Krause?","https://www.quora.com/Why-did-Chicago-Bulls-players-dislike-Jerry-Krause"
"1590675611-343","https://www.quora.com/profile/Vincent-Pisano-2/questions","Do you get notified of deletes on Twitch?","https://www.quora.com/unanswered/Do-you-get-notified-of-deletes-on-Twitch"
"1590675611-778","https://www.quora.com/profile/Vincent-Pisano-2/questions","Do dogs care about closed doors?","https://www.quora.com/Do-dogs-care-about-closed-doors"
"1590675611-189","https://www.quora.com/profile/Vincent-Pisano-2/questions","Is Lloid a superhero in Animal Crossing?","https://www.quora.com/Is-Lloid-a-superhero-in-Animal-Crossing"
"1590675611-672","https://www.quora.com/profile/Vincent-Pisano-2/questions","How long do Zoom calls last for you personally?","https://www.quora.com/How-long-do-Zoom-calls-last-for-you-personally"
"1590675611-675","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the first event of every PBA Tour season?","https://www.quora.com/What-is-the-first-event-of-every-PBA-Tour-season"
"1590675611-508","https://www.quora.com/profile/Vincent-Pisano-2/questions","What famous people faced the most backlash for what they've said about the coronavirus?","https://www.quora.com/What-famous-people-faced-the-most-backlash-for-what-theyve-said-about-the-coronavirus"
"1590675611-263","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you streamline poor wiring in a home?","https://www.quora.com/How-do-you-streamline-poor-wiring-in-a-home"
"1590675611-707","https://www.quora.com/profile/Vincent-Pisano-2/questions","When you undo a share on Facebook, does it show to the person who had the post you reshared?","https://www.quora.com/When-you-undo-a-share-on-Facebook-does-it-show-to-the-person-who-had-the-post-you-reshared"
"1590675611-278","https://www.quora.com/profile/Vincent-Pisano-2/questions","Which two hockey teams have played each other the most?","https://www.quora.com/Which-two-hockey-teams-have-played-each-other-the-most"
"1590675611-737","https://www.quora.com/profile/Vincent-Pisano-2/questions","Is there a way to stretch or shrink the Mozilla Firefox browser bar?","https://www.quora.com/Is-there-a-way-to-stretch-or-shrink-the-Mozilla-Firefox-browser-bar"
"1590675611-830","https://www.quora.com/profile/Vincent-Pisano-2/questions","How long does WordPerfect last for you personally?","https://www.quora.com/unanswered/How-long-does-WordPerfect-last-for-you-personally"
"1590675611-242","https://www.quora.com/profile/Vincent-Pisano-2/questions","Do you need oil to cook sausage?","https://www.quora.com/Do-you-need-oil-to-cook-sausage"
"1590675611-692","https://www.quora.com/profile/Vincent-Pisano-2/questions","What are contestants asked not to do on Family Feud?","https://www.quora.com/unanswered/What-are-contestants-asked-not-to-do-on-Family-Feud"
"1590675611-459","https://www.quora.com/profile/Vincent-Pisano-2/questions","Is there a special controller for Tony Hawk Pro Skater 1 and 2?","https://www.quora.com/Is-there-a-special-controller-for-Tony-Hawk-Pro-Skater-1-and-2"
"1590675611-520","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the meaning of the song ""Friends in Low Places"" by Garth Brooks?","https://www.quora.com/What-is-the-meaning-of-the-song-Friends-in-Low-Places-by-Garth-Brooks"
"1590675611-314","https://www.quora.com/profile/Vincent-Pisano-2/questions","What Genesis car models have manual transmission?","https://www.quora.com/What-Genesis-car-models-have-manual-transmission"
"1590675611-454","https://www.quora.com/profile/Vincent-Pisano-2/questions","What male fact made you think ""no wait, really""?","https://www.quora.com/unanswered/What-male-fact-made-you-think-no-wait-really"
